,genres comedy,genres outros,genres action,genres animation,genres drama,genres crime,genres romance,genres family,genres thriller,genres documentation
429,1,0,0,0,0,0,0,0,0,1
430,1,0,1,0,1,1,1,0,0,0
431,1,0,0,0,0,0,0,0,0,1
432,1,0,0,0,0,0,0,0,0,0
433,1,0,0,1,0,0,0,1,0,0
434,1,0,0,0,1,0,1,0,0,0
435,1,0,0,0,1,0,0,0,0,0
436,1,0,0,0,0,0,0,0,0,0
437,0,1,0,0,1,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,1
439,0,1,1,1,1,0,0,0,0,0
440,1,0,1,0,0,0,0,0,0,0
441,1,0,0,0,1,0,0,0,0,0
442,1,0,0,0,0,1,0,0,0,0
443,0,1,1,1,0,0,0,0,0,0
444,1,1,0,0,1,0,1,0,0,0
445,1,0,0,0,0,0,0,0,0,0
446,0,1,0,1,0,0,0,1,0,0
447,1,0,0,0,0,0,0,0,0,1
448,0,1,1,1,0,0,0,0,0,0
449,0,1,1,1,0,0,0,0,0,0
450,0,1,1,0,0,1,0,0,1,0
451,1,0,0,0,1,0,1,0,0,0
452,1,1,1,1,1,0,0,0,0,0
453,0,0,0,0,1,0,1,0,0,0
454,1,1,1,0,0,0,0,0,1,0
455,0,0,0,1,0,0,0,0,0,0
456,1,1,0,1,0,0,0,0,0,0
457,1,0,0,0,1,0,0,0,0,0
458,1,0,1,0,0,0,1,0,0,0
459,1,1,0,0,1,0,0,0,0,0
460,0,0,1,0,1,1,0,0,0,0
461,0,1,0,0,0,0,0,0,0,1
462,1,0,1,0,1,1,0,0,1,0
463,0,0,1,0,1,1,0,0,1,0
464,1,1,1,1,0,0,1,0,0,0
465,0,0,0,0,0,1,0,0,0,1
466,0,0,0,0,0,0,0,0,0,1
467,1,1,1,0,0,0,0,0,0,0
468,0,0,0,0,1,0,1,0,0,0
469,1,0,0,1,0,0,0,1,0,0
470,0,0,0,0,1,1,0,0,1,0
471,0,0,0,0,0,0,0,0,0,1
472,1,0,0,0,1,0,1,0,0,0
473,0,0,1,0,1,0,0,0,1,0
474,1,0,0,0,0,0,0,0,0,1
475,0,0,0,0,1,0,1,0,0,0
476,1,1,1,1,0,0,0,0,0,0
477,1,0,0,0,1,0,0,0,1,0
478,0,0,1,0,1,1,0,0,1,0
479,0,1,0,0,0,0,0,0,0,1
480,1,0,1,0,1,1,0,0,1,0
481,1,0,0,0,1,0,1,0,0,0
482,1,1,1,1,1,0,0,0,0,0
483,1,0,1,0,1,1,0,0,1,0
484,0,0,0,0,1,0,1,0,0,0
485,1,1,0,0,1,0,0,1,0,0
486,0,0,1,1,0,0,0,0,0,0
487,1,0,0,0,1,0,1,0,1,0
488,1,0,0,0,1,0,1,0,0,0
489,1,0,0,0,0,0,0,0,0,0
490,1,0,0,1,0,0,0,0,0,0
491,1,0,0,0,1,0,1,0,0,0
492,1,0,1,0,1,0,1,0,1,0
493,1,0,0,0,1,0,0,0,0,0
494,1,1,0,0,1,0,1,0,0,0
495,0,1,0,0,1,0,0,0,0,0
496,1,0,0,0,1,1,1,0,0,0
497,1,0,1,1,1,0,0,0,0,0
498,1,0,0,0,1,0,1,0,0,0
499,0,0,1,0,1,1,0,0,1,0
500,0,1,0,0,1,0,0,0,1,0
501,0,2,0,0,1,0,0,1,0,0
502,1,0,0,0,1,0,1,0,0,0
503,1,0,0,0,0,0,0,0,0,0
504,1,0,1,1,0,0,0,0,0,0
505,1,1,1,1,1,0,0,0,0,0
506,1,0,0,0,1,0,1,0,0,0
507,0,0,0,0,1,1,0,0,1,0
508,0,0,0,0,1,0,0,0,0,0
509,1,1,1,1,0,0,0,0,0,0
510,1,0,0,0,1,0,1,1,0,0
511,1,0,0,0,1,0,1,0,0,0
512,0,0,0,0,1,0,1,0,1,0
513,1,0,0,0,1,0,1,0,0,0
514,0,0,0,0,1,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,1
516,1,0,0,0,0,0,1,0,0,0
517,0,1,1,0,1,1,1,0,1,0
518,1,0,0,0,1,0,1,0,0,0
519,0,0,1,0,1,1,1,0,1,0
